CPU_User,CPU_System,CPU_Idle
1.4,0.3,98.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108405,299101,10.51%
CPU_Thread
19156
CPU_User,CPU_System,CPU_Idle
10.2,0.4,89.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108666,298839,10.53%
CPU_Thread
19157
CPU_User,CPU_System,CPU_Idle
2.3,1.7,96.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108458,299047,10.51%
CPU_Thread
19157
CPU_User,CPU_System,CPU_Idle
1.6,0.4,98.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108446,299059,10.51%
CPU_Thread
19158
CPU_User,CPU_System,CPU_Idle
3.0,0.2,96.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108439,299066,10.51%
CPU_Thread
19158
CPU_User,CPU_System,CPU_Idle
10.7,0.5,88.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108439,299065,10.51%
CPU_Thread
19159
CPU_User,CPU_System,CPU_Idle
2.0,0.2,97.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108995,298500,10.56%
CPU_Thread
19161
CPU_User,CPU_System,CPU_Idle
4.1,0.4,95.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108561,298934,10.52%
CPU_Thread
19160
CPU_User,CPU_System,CPU_Idle
3.2,0.5,96.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108560,298935,10.52%
CPU_Thread
19161
CPU_User,CPU_System,CPU_Idle
12.2,0.4,87.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109237,298187,10.59%
CPU_Thread
19166
CPU_User,CPU_System,CPU_Idle
3.1,0.2,96.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108678,298808,10.53%
CPU_Thread
19167
CPU_User,CPU_System,CPU_Idle
2.0,0.2,97.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108716,298770,10.54%
CPU_Thread
19166
CPU_User,CPU_System,CPU_Idle
1.1,0.3,98.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108651,298835,10.53%
CPU_Thread
19166
CPU_User,CPU_System,CPU_Idle
2.4,0.6,97.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108657,298829,10.53%
CPU_Thread
19165
CPU_User,CPU_System,CPU_Idle
7.0,0.4,92.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108656,298829,10.53%
CPU_Thread
19165
CPU_User,CPU_System,CPU_Idle
9.1,0.3,90.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108623,298862,10.53%
CPU_Thread
19166
CPU_User,CPU_System,CPU_Idle
5.8,0.3,93.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108635,298850,10.53%
CPU_Thread
19166
CPU_User,CPU_System,CPU_Idle
4.2,0.3,95.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108671,298815,10.53%
CPU_Thread
19167
CPU_User,CPU_System,CPU_Idle
8.5,0.9,90.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108619,298866,10.53%
CPU_Thread
19168
CPU_User,CPU_System,CPU_Idle
11.5,0.4,88.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108641,298844,10.53%
CPU_Thread
19168
CPU_User,CPU_System,CPU_Idle
8.4,0.9,90.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108688,298796,10.53%
CPU_Thread
19168
CPU_User,CPU_System,CPU_Idle
6.3,0.4,93.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108673,298811,10.53%
CPU_Thread
19169
CPU_User,CPU_System,CPU_Idle
0.9,0.2,98.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108626,298858,10.53%
CPU_Thread
19170
CPU_User,CPU_System,CPU_Idle
8.8,0.6,90.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108615,298868,10.53%
CPU_Thread
19171
CPU_User,CPU_System,CPU_Idle
13.9,0.6,85.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108642,298842,10.53%
CPU_Thread
19172
CPU_User,CPU_System,CPU_Idle
9.0,0.5,90.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109243,298211,10.59%
CPU_Thread
19174
CPU_User,CPU_System,CPU_Idle
5.5,0.3,94.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108621,298860,10.53%
CPU_Thread
19172
CPU_User,CPU_System,CPU_Idle
3.5,0.4,96.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108649,298831,10.53%
CPU_Thread
19173
CPU_User,CPU_System,CPU_Idle
0.9,0.2,98.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108653,298827,10.53%
CPU_Thread
19173
CPU_User,CPU_System,CPU_Idle
7.8,0.5,91.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108712,298767,10.54%
CPU_Thread
19182
CPU_User,CPU_System,CPU_Idle
1.2,0.5,98.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108942,298534,10.56%
CPU_Thread
19242
CPU_User,CPU_System,CPU_Idle
1.3,0.2,98.5
