cpu_usage,cpu_core_count,cpu_thread_count,disk_utilization,memory_usage_bytes,memory_utilization,percent_disk_reads,percent_disk_writes,percent_disk_read_bytes,percent_disk_write_bytes,average_cpu_utilization_by_threads
8.0,8,16,8.2,10996662272,17.2,0.0,100.0,0.0,100.0,2.956249999999997
16.0,8,16,8.2,11002740736,17.2,0.0,100.0,0.0,100.0,3.0625
21.3,8,16,8.2,11001397248,17.2,0.0,100.0,0.0,100.0,19.618750000000002
16.3,8,16,8.2,10987216896,17.2,0.0,100.0,0.0,100.0,16.6625
14.1,8,16,8.2,10991075328,17.2,0.0,100.0,0.0,100.0,17.5875
14.9,8,16,8.2,11005521920,17.2,0.0,100.0,0.0,100.0,17.4125
13.5,8,16,8.2,11000987648,17.2,0.0,100.0,0.0,100.0,21.181249999999995
16.0,8,16,8.2,11003326464,17.2,0.0,100.0,0.0,100.0,15.712499999999999
20.0,8,16,8.2,11003420672,17.2,0.0,100.0,0.0,100.0,18.9125
16.2,8,16,8.2,11006984192,17.2,0.0,100.0,0.0,100.0,16.006249999999998
