timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:41.519, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:41.751, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:41.753, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:41.961, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:41.963, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:42.177, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:42.179, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:42.407, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:42.408, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:42.649, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:42.650, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:42.881, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:42.882, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:43.111, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:43.112, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:43.336, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:43.337, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:43.679, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
