timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/04 14:52:46.866, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:46.867, A100-SXM4-40GB, P0, 50, 49 %, 8 %, 40537 MiB, 36671 MiB, 3866 MiB
2023/12/04 14:52:46.867, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:46.869, A100-SXM4-40GB, P0, 48, 61 %, 29 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:52:46.870, A100-SXM4-40GB, P0, 56, 84 %, 14 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:52:46.870, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:52:46.871, A100-SXM4-40GB, P0, 42, 68 %, 36 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:52:47.872, A100-SXM4-40GB, P0, 36, 41 %, 24 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:52:47.873, A100-SXM4-40GB, P0, 33, 64 %, 29 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:47.874, A100-SXM4-40GB, P0, 51, 90 %, 7 %, 40537 MiB, 34875 MiB, 5662 MiB
2023/12/04 14:52:47.875, A100-SXM4-40GB, P0, 38, 36 %, 13 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:47.876, A100-SXM4-40GB, P0, 48, 58 %, 28 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:52:47.877, A100-SXM4-40GB, P0, 56, 79 %, 14 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:52:47.878, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:52:47.879, A100-SXM4-40GB, P0, 42, 67 %, 30 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:52:48.880, A100-SXM4-40GB, P0, 37, 46 %, 27 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:52:48.881, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:48.881, A100-SXM4-40GB, P0, 51, 62 %, 12 %, 40537 MiB, 33559 MiB, 6978 MiB
2023/12/04 14:52:48.882, A100-SXM4-40GB, P0, 42, 98 %, 45 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:48.896, A100-SXM4-40GB, P0, 48, 56 %, 26 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:52:48.898, A100-SXM4-40GB, P0, 57, 77 %, 13 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:52:48.899, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:52:48.900, A100-SXM4-40GB, P0, 42, 68 %, 37 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:52:49.901, A100-SXM4-40GB, P0, 36, 38 %, 23 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:52:49.902, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:49.903, A100-SXM4-40GB, P0, 50, 93 %, 11 %, 40537 MiB, 36771 MiB, 3766 MiB
2023/12/04 14:52:49.905, A100-SXM4-40GB, P0, 38, 78 %, 25 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:52:49.906, A100-SXM4-40GB, P0, 48, 59 %, 28 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:52:49.907, A100-SXM4-40GB, P0, 57, 79 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
