NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-fmqcv   1/1     Running   0          18m   10.233.88.97   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
