file,train_execution,overall_execution,cpu_usage,gpu_usage,resolution,train_batch_size,num_train_epochs,max_train_steps,learning_rate,gradient_accumulation_steps,num_dataset,file_size
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:05:30,0:06:10,"7,3","1,458,045,149",256,2,6,100,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:11:03,0:11:45,"6,2","1,458,476,973",256,2,6,500,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:05:16,0:05:46,"4,3","1,458,045,149",256,2,6,500,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:15:27,0:16:05,"6,3","1,458,045,149",256,2,6,500,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:15:36,0:16:14,"3,9","1,458,007,002",256,2,6,1000,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:09:45,0:10:13,"4,5","1,458,045,149",256,2,6,1000,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:28:36,0:29:17,"5,4","1,458,249,617",256,2,6,1000,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:00:37,0:01:04,"5,9","1,460,561,323",512,2,6,100,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:01:05,0:01:32,"4,5","146,230,998",512,2,6,100,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:01:47,0:02:14,6,"1,462,322,187",512,2,6,100,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:05:04,0:05:44,"7,3","1,461,543,989",512,2,6,500,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:06:52,0:07:20,"4,3","146,201,396",512,2,6,500,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:14:16,0:14:56,"6,5","146,230,998",512,2,6,500,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:09:34,0:10:14,5,"1,461,543,989",512,2,6,1000,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:14:22,0:14:50,"6,4","1,462,322,187",512,2,6,1000,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:22:01,0:22:28,"7,1","146,201,396",512,2,6,1000,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:02:27,0:02:56,"6,5","1,460,126,448",1024,2,6,100,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:04:18,0:04:47,"7,2","1,460,553,694",1024,2,6,100,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:11:44,0:12:21,"7,8","1,460,364,485",1024,2,6,100,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:16:12,0:16:41,"5,8","1,460,004,377",1024,2,6,500,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:27:51,0:28:33,"8,9","1,460,358,381",1024,2,6,500,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,1:03:43,1:04:09,"5,9","1,459,915,876",1024,2,6,500,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:32:08,0:32:41,"5,5","1,460,126,448",1024,2,6,1000,1,1,50,6232832
